info: Jan-21-2023 15:40:13: 	 Arrancamos Bob en el puerto 8001
info: Jan-21-2023 15:40:14: 	 Obtenida informacion de los pares de futuros
info: Jan-21-2023 15:40:14: 	 Conectados a okex
info: Jan-21-2023 15:40:14: 	subscritos al canal privadode Okex
info: Jan-21-2023 15:40:19: 	inicializamos el array de operaciones.
info: Jan-21-2023 15:40:19: 	Comprobamos las operaciones abiertas
info: Jan-21-2023 15:40:19: 	Salimos de openPositions
info: Jan-21-2023 15:40:19: 	Primer timeStamp: 1674311400000
info: Jan-21-2023 15:40:51: 	 Conectados a okex Kindles
info: Jan-21-2023 18:52:08: 	Iniciamos proceso para abrir el par ENJ-USDT en sentido long
info: Jan-21-2023 18:52:08: 	Enviamos a okex la operacion ENJ-USDT-SWAP
info: Jan-21-2023 18:52:08: 	ENJ-USDT-SWAP market buy long 0 646
info: Jan-21-2023 18:52:08: 	Enviamos Axios Market
info: Jan-21-2023 18:52:08: 	Arrancamos long el par:ENJ-USDT precio: 0.4329 cantidad: 279.6534
info: Jan-21-2023 18:52:08: 	****************************************************************************
info: Jan-21-2023 19:00:02: 	Iniciamos proceso para abrir el par APT-USDT en sentido long
info: Jan-21-2023 19:00:02: 	Enviamos a okex la operacion APT-USDT-SWAP
info: Jan-21-2023 19:00:02: 	APT-USDT-SWAP market buy long 0 22
info: Jan-21-2023 19:00:02: 	Enviamos Axios Market
info: Jan-21-2023 19:00:03: 	Arrancamos long el par:APT-USDT precio: 12.628 cantidad: 277.816
info: Jan-21-2023 19:00:03: 	****************************************************************************
info: Jan-21-2023 19:26:17: 	Iniciamos proceso para abrir el par XRP-USDT en sentido long
info: Jan-21-2023 19:26:17: 	Enviamos a okex la operacion XRP-USDT-SWAP
info: Jan-21-2023 19:26:17: 	XRP-USDT-SWAP market buy long 0 6
info: Jan-21-2023 19:26:17: 	Enviamos Axios Market
info: Jan-21-2023 19:26:17: 	Arrancamos long el par:XRP-USDT precio: 0.4104816666666667 cantidad: 246.28900000000002
info: Jan-21-2023 19:26:17: 	****************************************************************************
info: Jan-21-2023 19:32:20: 	Iniciamos proceso para abrir el par ZEC-USDT en sentido long
info: Jan-21-2023 19:32:20: 	Enviamos a okex la operacion ZEC-USDT-SWAP
info: Jan-21-2023 19:32:20: 	ZEC-USDT-SWAP market buy long 0 57
info: Jan-21-2023 19:32:20: 	Enviamos Axios Market
info: Jan-21-2023 19:32:20: 	Arrancamos long el par:ZEC-USDT precio: 48.86 cantidad: 278.502
info: Jan-21-2023 19:32:20: 	****************************************************************************
info: Jan-21-2023 19:45:25: 	Iniciamos proceso para abrir el par OP-USDT en sentido long
info: Jan-21-2023 19:45:25: 	Enviamos a okex la operacion OP-USDT-SWAP
info: Jan-21-2023 19:45:25: 	OP-USDT-SWAP market buy long 0 121
info: Jan-21-2023 19:45:25: 	Enviamos Axios Market
info: Jan-21-2023 19:45:25: 	Arrancamos long el par:OP-USDT precio: 2.3117 cantidad: 279.7157
info: Jan-21-2023 19:45:25: 	****************************************************************************
info: Jan-21-2023 23:16:10: 	Iniciamos proceso para abrir el par XCH-USDT en sentido long
info: Jan-21-2023 23:16:10: 	Enviamos a okex la operacion XCH-USDT-SWAP
info: Jan-21-2023 23:16:10: 	XCH-USDT-SWAP market buy long 0 595
info: Jan-21-2023 23:16:10: 	Enviamos Axios Market
info: Jan-21-2023 23:16:10: 	Arrancamos long el par:XCH-USDT precio: 47.01 cantidad: 279.7095
info: Jan-21-2023 23:16:10: 	****************************************************************************
info: Jan-21-2023 23:30:03: 	Iniciamos proceso para abrir el par ANT-USDT en sentido long
info: Jan-21-2023 23:30:03: 	Enviamos a okex la operacion ANT-USDT-SWAP
info: Jan-21-2023 23:30:03: 	ANT-USDT-SWAP market buy long 0 92
info: Jan-21-2023 23:30:03: 	Enviamos Axios Market
info: Jan-21-2023 23:30:03: 	Arrancamos long el par:ANT-USDT precio: 3.023 cantidad: 278.116
info: Jan-21-2023 23:30:03: 	****************************************************************************
info: Jan-21-2023 23:33:40: 	Iniciamos proceso para abrir el par DASH-USDT en sentido long
info: Jan-21-2023 23:33:40: 	Enviamos a okex la operacion DASH-USDT-SWAP
info: Jan-21-2023 23:33:40: 	DASH-USDT-SWAP market buy long 0 52
info: Jan-21-2023 23:33:40: 	Enviamos Axios Market
info: Jan-21-2023 23:33:40: 	Arrancamos long el par:DASH-USDT precio: 53.1084615384615385 cantidad: 276.1640000000000002
info: Jan-21-2023 23:33:40: 	****************************************************************************
info: Jan-22-2023 00:02:32: 	Iniciamos proceso para abrir el par KNC-USDT en sentido long
info: Jan-22-2023 00:02:32: 	Enviamos a okex la operacion KNC-USDT-SWAP
info: Jan-22-2023 00:02:32: 	KNC-USDT-SWAP market buy long 0 329
info: Jan-22-2023 00:02:32: 	Enviamos Axios Market
info: Jan-22-2023 00:02:33: 	Arrancamos long el par:KNC-USDT precio: 0.8495106382978724 cantidad: 279.4890000000000196
info: Jan-22-2023 00:02:33: 	****************************************************************************
info: Jan-22-2023 02:15:40: 	Iniciamos proceso para abrir el par RVN-USDT en sentido long
info: Jan-22-2023 02:15:40: 	Enviamos a okex la operacion RVN-USDT-SWAP
